generated_utc,scope,scope_value,family_id,portfolio,regime,status,fitness_score,closed_trades,expectancy_r,profit_factor,win_rate,max_drawdown_r,liquidations,positive_folds,total_folds,first_entry_utc,last_entry_utc
2026-08-28T07:14:24+00:00,PORTFOLIO,SHADOW_SCANNER_BOTTOM10_SHORT,shadow-scanner-bottom10-short,SHADOW_SCANNER_BOTTOM10_SHORT,BULL_TREND,INSUFFICIENT,12.97,4,-0.6050215849061562,0.0,0.0,2.420086339624625,0,0,4,2026-07-26T07:38:37+00:00,2026-08-12T10:24:07+00:00
2026-08-28T07:14:24+00:00,PORTFOLIO,SHADOW_SCANNER_BOTTOM15_SHORT,shadow-scanner-bottom15-short,SHADOW_SCANNER_BOTTOM15_SHORT,BULL_TREND,INSUFFICIENT,12.97,4,-0.6050215849061562,0.0,0.0,2.420086339624625,0,0,4,2026-07-26T07:38:37+00:00,2026-08-12T10:24:07+00:00
2026-08-28T07:14:24+00:00,PORTFOLIO,SHADOW_SCANNER_BOTTOM20_SHORT,shadow-scanner-bottom20-short,SHADOW_SCANNER_BOTTOM20_SHORT,BULL_TREND,INSUFFICIENT,12.97,4,-0.6050215849061562,0.0,0.0,2.420086339624625,0,0,4,2026-07-26T07:38:37+00:00,2026-08-12T10:24:07+00:00
2026-08-28T07:14:24+00:00,PORTFOLIO,SHADOW_SCANNER_BOTTOM5_SHORT_PROFIT_LOCK_V1,shadow-scanner-bottom5-short-profit-lock-v1,SHADOW_SCANNER_BOTTOM5_SHORT_PROFIT_LOCK_V1,BULL_TREND,INSUFFICIENT,12.97,4,-0.6050215849061562,0.0,0.0,2.420086339624625,0,0,4,2026-07-26T07:38:37+00:00,2026-08-12T10:24:07+00:00
2026-08-28T07:14:24+00:00,PORTFOLIO,SHADOW_4H_WIDE,shadow-4h-wide,SHADOW_4H_WIDE,BULL_TREND,OBSERVING,12.87,12,-0.3311960462631585,0.5570249626310391,0.25,7.95275690434726,0,2,4,2026-07-14T16:00:54+00:00,2026-08-22T08:05:46+00:00
2026-08-28T07:14:24+00:00,PORTFOLIO,SHADOW_1H_FAST_V3_CAP75_V1,shadow-1h-fast-v3-cap75-v1,SHADOW_1H_FAST_V3_CAP75_V1,BULL_TREND,OBSERVING,12.78,27,-0.3215726736441127,0.4629506413117694,0.2962962962962963,8.68246218839104,0,0,4,2026-07-21T05:08:33+00:00,2026-08-24T05:05:47+00:00
2026-08-28T07:14:24+00:00,PORTFOLIO,SHADOW_ETH_DONCHIAN_1H,shadow-eth-donchian-1h,SHADOW_ETH_DONCHIAN_1H,BULL_TREND,INSUFFICIENT,12.78,6,-0.7909145100268526,0.2881845079706843,0.16666666666666666,4.745487060161116,0,1,4,2026-07-19T03:08:30+00:00,2026-08-23T14:06:02+00:00
2026-08-28T07:14:24+00:00,PORTFOLIO,EVO_CAND_SHADOW_1H_FAST_V3_TP_R250_6b45fc13,momentum_breakout_v3_filtered,EVO_CAND_SHADOW_1H_FAST_V3_TP_R250_6b45fc13,BULL_TREND,INSUFFICIENT,11.7,6,-0.6332865097868484,0.0,0.0,3.7997190587210903,0,0,4,2026-07-27T07:08:41+00:00,2026-07-27T09:38:39+00:00
2026-08-28T07:14:24+00:00,PORTFOLIO,SHADOW_SCANNER_BOTTOM5_SHORT,shadow-scanner-bottom5-short,SHADOW_SCANNER_BOTTOM5_SHORT,BULL_TREND,OBSERVING,11.69,12,-0.42357942473724053,0.32755247377253865,0.16666666666666666,7.076269003513554,0,1,4,2026-07-14T16:00:54+00:00,2026-08-12T10:24:07+00:00
2026-08-28T07:14:24+00:00,PORTFOLIO,SHADOW_1H_FAST_SCORE_6_75_V1,shadow-1h-fast-score-6-75-v1,SHADOW_1H_FAST_SCORE_6_75_V1,BULL_TREND,OBSERVING,11.6,29,-0.3723080736969482,0.3922969697299436,0.2413793103448276,10.796934137211498,0,0,4,2026-07-21T05:08:33+00:00,2026-08-24T05:05:47+00:00
