target_asset,similar_asset,end_date,similarity,return_30d,drawdown_30d,max_gain_30d,spike_before_low_pct,spike_day,low_day,post_peak_low_pct,post_peak_low_day,dump_from_peak_pct,sequence
BTC,ALGO-USD,2023-11-25,86.1597517591178,69.64478637171352,-6.069753969692149,71.10524199896453,0.0,0,2,-6.069753969692149,2,-6.069753969692149,DISCESA QUASI IMMEDIATA
BTC,XTZ-USD,2023-11-21,85.95653804684855,20.770452122100757,0.0,26.954541219968362,0.0,0,0,0.0,0,0.0,DISCESA QUASI IMMEDIATA
BTC,LRC-USD,2020-06-19,85.78280117615165,42.62051364456099,-20.064410131158215,45.111111235531865,0.0,0,10,-20.064410131158215,10,-20.064410131158215,ECCEZIONE POSITIVA
BTC,AVAX-USD,2023-11-27,85.74247242310166,108.31538760615898,0.0,137.46642495444473,0.0,0,0,0.0,0,0.0,DISCESA QUASI IMMEDIATA
BTC,MATIC-USD,2023-11-26,85.73063192351,33.079384849207315,-2.610691240034979,33.079384849207315,0.0,0,1,-2.610691240034979,1,-2.610691240034979,DISCESA QUASI IMMEDIATA
BTC,FIL-USD,2023-11-25,85.58334221130453,21.357364824607505,-8.231351440656354,21.357364824607505,0.0,0,5,-8.231351440656354,5,-8.231351440656354,DISCESA QUASI IMMEDIATA
BTC,THETA-USD,2019-02-24,85.36689936628892,25.986736968249712,0.0,109.84022630637034,0.0,0,0,0.0,0,0.0,DISCESA QUASI IMMEDIATA
BTC,DOGE-USD,2019-04-21,85.36050149327193,11.811591085286022,-10.652178864545714,19.855071363434295,1.376805175588891,1,8,-10.652178864545714,8,-11.865617602862798,ECCEZIONE POSITIVA
BTC,QTUM-USD,2023-11-16,85.16525302149974,3.0852169179034883,-5.866020702285546,12.597602383735795,3.3364859042560813,4,5,-5.866020702285546,5,-8.905379862702112,ECCEZIONE POSITIVA
BTC,LTC-USD,2019-02-25,84.89583848909561,34.70525927737042,-1.5621886473358604,34.70525927737042,0.0,0,1,-1.5621886473358604,1,-1.5621886473358604,DISCESA QUASI IMMEDIATA
BTC,ZIL-USD,2023-11-23,84.88382646897963,21.532147331994555,-1.3356242340045177,23.440176874875274,2.251478059188461,2,4,-1.3356242340045177,4,-3.5081177908416916,DISCESA QUASI IMMEDIATA
BTC,EOS-USD,2023-11-21,84.87327076984464,29.790009280719488,0.0,31.61071553595376,0.0,0,0,0.0,0,0.0,DISCESA QUASI IMMEDIATA
BTC,DASH-USD,2020-12-11,84.65634682161429,58.96065938350144,-6.830883203317672,58.96065938350144,17.299654721899714,9,22,-6.830883203317672,22,-20.571704138795088,ECCEZIONE POSITIVA
BTC,WAVES-USD,2023-11-21,84.64677565545782,36.69644926932183,0.0,36.69644926932183,0.0,0,0,0.0,0,0.0,DISCESA QUASI IMMEDIATA
BTC,NEO-USD,2023-11-21,84.58071084728063,43.15260543165742,0.0,43.15260543165742,0.0,0,0,0.0,0,0.0,DISCESA QUASI IMMEDIATA
BTC,NEAR-USD,2023-11-21,84.54139469450618,100.0400678674064,0.0,100.0400678674064,0.0,0,0,0.0,0,0.0,DISCESA QUASI IMMEDIATA
BTC,OMG-USD,2023-11-21,84.37473228663973,44.53314178199299,0.0,64.73547923058025,0.0,0,0,0.0,0,0.0,DISCESA QUASI IMMEDIATA
BTC,SAND-USD,2023-11-25,84.0298946380551,41.33652790378613,-5.372033926149267,41.33652790378613,0.0,0,2,-5.372033926149267,2,-5.372033926149267,DISCESA QUASI IMMEDIATA
BTC,AVAX-USD,2021-09-08,84.02968299873264,63.3412349307162,0.0,106.25143882240393,0.0,0,0,0.0,0,0.0,DISCESA QUASI IMMEDIATA
BTC,ETC-USD,2019-04-21,83.88495050043386,25.822825869743802,-8.952124066749622,32.33874852657381,0.49028125988519466,2,4,-8.952124066749622,4,-9.396336847953613,DISCESA QUASI IMMEDIATA
BTC,ATOM-USD,2023-11-21,83.61439652551617,38.209271778584906,0.0,46.13038515224333,0.0,0,0,0.0,0,0.0,DISCESA QUASI IMMEDIATA
