generated_utc,module,asset,field,before,snapshot_price,difference_before_pct,location,status
2026-07-15T07:27:04+00:00,latest_scanner_summary.csv,BTC,current_price,64595.8515625,64595.8515625,0.0,row 0,ALREADY_ALIGNED
2026-07-15T07:27:04+00:00,latest_scanner_summary.csv,DOGE,current_price,0.0740899965167045,0.07408999651670456,-7.771561172376096e-14,row 1,ALREADY_ALIGNED
2026-07-15T07:27:04+00:00,latest_scanner_summary.csv,SOL,current_price,77.68000030517578,77.68000030517578,0.0,row 2,ALREADY_ALIGNED
2026-07-15T07:27:04+00:00,scanner_forecast_latest.csv,BTC,current_price,64595.8515625,64595.8515625,0.0,row 0,ALREADY_ALIGNED
2026-07-15T07:27:04+00:00,scanner_forecast_latest.csv,SOL,current_price,77.68000030517578,77.68000030517578,0.0,row 1,ALREADY_ALIGNED
2026-07-15T07:27:04+00:00,scanner_forecast_latest.csv,DOGE,current_price,0.0740899965167045,0.07408999651670456,-7.771561172376096e-14,row 2,ALREADY_ALIGNED
2026-07-15T07:27:04+00:00,technical_structure_metrics.csv,BTC,price,64595.8515625,64595.8515625,0.0,row 0,ALREADY_ALIGNED
2026-07-15T07:27:04+00:00,technical_structure_metrics.csv,SOL,price,77.68000030517578,77.68000030517578,0.0,row 1,ALREADY_ALIGNED
2026-07-15T07:27:04+00:00,technical_structure_metrics.csv,DOGE,price,0.0740899965167045,0.07408999651670456,-7.771561172376096e-14,row 2,ALREADY_ALIGNED
2026-07-15T07:27:04+00:00,classic_technical_confirmation_metrics.csv,BTC,price,64579.30078125,64595.8515625,-0.025622049790585688,row 0,SYNCHRONISED
2026-07-15T07:27:04+00:00,classic_technical_confirmation_metrics.csv,SOL,price,77.69000244140625,77.68000030517578,0.012876076456191932,row 1,SYNCHRONISED
2026-07-15T07:27:04+00:00,classic_technical_confirmation_metrics.csv,DOGE,price,0.0740400031208992,0.07408999651670456,-0.06747658004557788,row 2,SYNCHRONISED
2026-07-15T07:27:04+00:00,classic_technical_visual_metrics.csv,BTC,price,64595.8515625,64595.8515625,0.0,row 0,ALREADY_ALIGNED
2026-07-15T07:27:04+00:00,classic_technical_visual_metrics.csv,SOL,price,77.68000030517578,77.68000030517578,0.0,row 1,ALREADY_ALIGNED
2026-07-15T07:27:04+00:00,classic_technical_visual_metrics.csv,DOGE,price,0.0740899965167045,0.07408999651670456,-7.771561172376096e-14,row 2,ALREADY_ALIGNED
2026-07-15T07:27:04+00:00,rsi_top_cycle_metrics.csv,SOL,current_price,77.68000030517578,77.68000030517578,0.0,row 0,ALREADY_ALIGNED
2026-07-15T07:27:04+00:00,rsi_top_cycle_metrics.csv,SOL,current_price,77.68000030517578,77.68000030517578,0.0,row 1,ALREADY_ALIGNED
2026-07-15T07:27:04+00:00,btc_2022_vs_sol_2026_metrics.csv,SOL,sol_current_price,77.68000030517578,77.68000030517578,0.0,row 0,ALREADY_ALIGNED
