target,similar_asset,start_date,end_date,similarity,return_7d,drawdown_7d,max_gain_7d,return_14d,drawdown_14d,max_gain_14d,return_30d,drawdown_30d,max_gain_30d,return_60d,drawdown_60d,max_gain_60d
DOGE-USD,CHZ-USD,2020-08-28,2020-12-05,81.16920368469229,-2.0480774846248218,-4.776213405580676,1.1624225551806422,27.502774783060246,-4.776213405580676,27.502774783060246,48.77431217010901,-4.776213405580676,126.64083374507373,88.25716080352974,-4.776213405580676,126.64083374507373
DOGE-USD,QTUM-USD,2020-08-29,2020-12-06,81.10060289192617,-3.781158128307227,-11.731400929538971,0.0,5.746180478818719,-11.731400929538971,6.248337878151533,-1.546601290548022,-21.59329843255675,6.248337878151533,32.146018488502,-21.59329843255675,47.42157773211939
DOGE-USD,XLM-USD,2021-05-16,2021-08-23,80.9902921611334,-13.041584777383653,-13.041584777383653,0.0,11.810802035192957,-13.041584777383653,11.810802035192957,-22.550069653435788,-29.675424904845272,11.810802035192957,-1.7345995553071591,-32.205628652359074,11.810802035192957
DOGE-USD,TRX-USD,2021-05-11,2021-08-18,80.90921811225931,3.145245056627588,-0.16870450184266472,6.847330116992656,12.20815672598119,-1.8793591848319413,12.20815672598119,24.06828625215209,-1.8793591848319413,42.65422556300831,16.430524606570774,-1.9088492907915144,42.65422556300831
DOGE-USD,MANA-USD,2022-10-18,2023-01-25,80.6940186550162,16.293811836488658,-1.8245046402949106,16.911503524362704,11.086716032554556,-1.8245046402949106,16.977643406019773,-3.090351608117181,-6.458290164331371,16.977643406019773,-14.286854138782413,-24.967913383121076,16.977643406019773
DOGE-USD,KSM-USD,2021-12-30,2022-04-08,80.57047605189118,-3.563302995190498,-11.475737681880215,3.6665655661059837,-4.346916517075938,-11.475737681880215,4.742378315817053,-35.05509980556971,-35.05509980556971,4.742378315817053,-60.87607667445256,-61.411209650930154,4.742378315817053
DOGE-USD,EOS-USD,2021-12-27,2022-04-05,80.54619608172212,-18.758323976761982,-21.683418582094504,0.0,-4.01291219814196,-21.683418582094504,0.0,-26.814277872834836,-26.91225710414268,0.25778229417683374,-53.35600697067808,-56.12789501481706,0.25778229417683374
DOGE-USD,KAVA-USD,2023-08-09,2023-11-16,80.44615606490143,-3.545600376708846,-11.521142603205037,0.0,-3.3108423019463484,-11.521142603205037,0.6642383719144718,2.7732674614725505,-11.521142603205037,11.116666837277567,-4.88834821963523,-11.521142603205037,19.278230130806364
DOGE-USD,LINK-USD,2021-05-11,2021-08-18,80.36149711412378,3.9493111036434048,0.0,12.499348651943155,16.549615900891922,-4.258900479623929,16.549615900891922,8.551368279480464,-4.258900479623929,36.34226106927241,4.029297018825728,-15.992988990442282,36.34226106927241
DOGE-USD,BAT-USD,2020-08-29,2020-12-06,80.3360536700462,-9.795622812792592,-13.850997999770753,0.0,-1.5677556241708523,-13.850997999770753,5.871766950942381,-1.6123098345437348,-18.374796188354747,5.871766950942381,32.68275461226489,-18.374796188354747,39.72344524488598
DOGE-USD,BCH-USD,2021-12-27,2022-04-05,80.31390697827803,-16.776251001660192,-19.46032508407275,0.0,-6.99198421692061,-19.46032508407275,0.0,-24.233655949215304,-24.233655949215304,0.0,-48.46044515821853,-52.43369447300375,0.0
DOGE-USD,VET-USD,2021-12-29,2022-04-07,80.26839887069414,-13.068570525500023,-18.25657915586849,0.0,-16.64445408820605,-18.25657915586849,0.0,-35.3575883562706,-35.707806207155045,0.0,-54.861897835942706,-60.84675718891016,0.0
DOGE-USD,LRC-USD,2021-12-27,2022-04-05,80.1761083025939,-17.350751821322742,-23.050063190948812,0.0,-13.117314104306043,-23.050063190948812,0.0,-32.761908150985384,-38.26591527668146,0.0,-53.36870301116733,-64.33854658661042,0.0
DOGE-USD,ETH-USD,2025-02-14,2025-05-24,80.15658312643106,-0.06159841173536407,-0.06159841173536407,5.989246856430941,-0.16362892113445104,-4.5190273490195,5.989246856430941,-4.300138333535763,-11.950825076235871,11.177830128656275,43.42990954536128,-11.950825076235871,48.711869642517925
DOGE-USD,AVAX-USD,2021-05-12,2021-08-19,80.11391766626313,35.210496960933504,0.0,80.66644161058632,55.89048178396834,0.0,80.66644161058632,125.27833879225079,0.0,128.28683468003788,81.08633598697779,0.0,149.45608610873097
DOGE-USD,EOS-USD,2025-01-05,2025-04-14,79.88610896222383,3.0471896392023856,-3.6880481433876233,7.138833701657954,12.936074293541445,-3.6880481433876233,12.936074293541445,30.30081624684353,-3.6880481433876233,53.735238464883196,-6.779060499814859,-6.779060499814859,53.735238464883196
DOGE-USD,NEAR-USD,2022-05-11,2022-08-18,79.85265768674559,-10.993994448640109,-15.171221549378677,0.0,-10.614942281183282,-22.76762538122795,0.0,-9.857318727906739,-22.76762538122795,4.6217146301950285,-37.033853993681355,-39.92508833381395,4.6217146301950285
DOGE-USD,VET-USD,2021-05-13,2021-08-20,79.77091938222851,-3.8479131149367074,-12.917193601361355,0.0,7.572750538714779,-12.917193601361355,7.572750538714779,-18.88232733727504,-18.88232733727504,15.538012438864769,-12.817374239122703,-38.52267455722947,15.538012438864769
DOGE-USD,YFI-USD,2025-01-29,2025-05-08,79.74302304686925,-6.746461665122849,-6.746461665122849,5.932145157622459,-3.2729290146237044,-10.151661172984571,5.932145157622459,-14.85848326766358,-18.059516485092953,5.932145157622459,-17.311089250288937,-24.31677569130177,5.932145157622459
DOGE-USD,AAVE-USD,2025-02-12,2025-05-22,79.5414187651108,-2.6431387444171395,-2.6431387444171395,5.883066006954052,-5.656923137807923,-5.656923137807923,5.883066006954052,-8.769342354883092,-8.769342354883092,20.019036479375572,25.57832308558774,-11.413390258166656,27.381820934684242
DOGE-USD,INJ-USD,2022-05-18,2022-08-25,79.52859175046942,-14.333839238748125,-15.911124253253096,0.0,-13.537888091308382,-17.860023447995165,0.0,-7.485361765955211,-18.35899571237618,4.839271938744205,6.622754478972737,-18.35899571237618,17.755684227853898
DOGE-USD,XRP-USD,2021-05-16,2021-08-23,79.50062643958435,-11.692339541228646,-13.790437202680451,0.0,11.396330582300696,-13.790437202680451,11.396330582300696,-19.49810276521934,-29.74023161355801,11.396330582300696,-12.739500742579057,-29.74023161355801,11.396330582300696
DOGE-USD,FIL-USD,2023-07-29,2023-11-05,79.4718239381067,24.905505558006013,0.0,24.905505558006013,18.702775945083427,0.0,26.918753776071114,16.302364608159657,0.0,26.918753776071114,57.955602670215086,0.0,84.80804354111145
DOGE-USD,THETA-USD,2026-01-24,2026-05-03,79.24169244003824,10.734525928695282,-1.8656516831628722,10.734525928695282,-8.880613884531874,-8.880613884531874,15.887122706776191,-16.186962456159026,-16.186962456159026,15.887122706776191,-36.49514650880686,-40.38551883715624,15.887122706776191
DOGE-USD,QTUM-USD,2019-08-05,2019-11-12,79.11004835340024,-13.675266592392166,-13.675266592392166,3.28423789060428,-25.454963128017404,-27.780890232903598,3.28423789060428,-18.63259589368136,-27.780890232903598,3.28423789060428,-22.578120855217787,-31.909682211257895,3.28423789060428
