target,similar_asset,start_date,end_date,similarity,return_30d_report,drawdown_30d_report,max_gain_30d_report,day_0,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,return_path_30d,drawdown_path,max_gain_path,asset,trigger_side
DOGE-USD,ENJ-USD,2022-02-25,2022-06-04,85.7736294711906,-16.552967403590536,-33.462718559591366,5.000658215997822,0.0,1.5175594098664424,5.000658215997822,0.7126087051151142,-0.36257969663001655,0.038131464287549655,-6.530106742212416,-13.636893155291895,-20.853390224672662,-28.191175456798547,-26.95850899742438,-22.31174854672332,-31.434593512550258,-29.095371519065683,-33.462718559591366,-29.030863474879975,-25.987072311810866,-24.740733368636334,-25.32143520426796,-15.993488599440042,-12.202989019729893,-5.72146465859491,-11.636597269702786,-7.999879574756985,-14.655617842380419,-16.228825987153805,-18.468160227319906,-23.25905224374951,-23.3190539293194,-22.988004361004577,-16.552967403590536,-16.552967403590536,-33.462718559591366,5.000658215997822,DOGE,negative
DOGE-USD,ETH-USD,2022-02-25,2022-06-04,85.3502966439616,-36.10940195957865,-44.84727231950326,3.2015914589175187,0.0,0.19956927348694364,3.2015914589175187,0.6904294628589103,-0.44611395856772873,-0.6540511295475837,-7.580292009132183,-15.09461652839309,-19.781919717646133,-33.138520548947625,-32.745534269928044,-31.54973800350097,-40.7346200923721,-39.691742917862136,-44.84727231950326,-37.40838422675037,-37.40916342368291,-37.565571962732704,-41.6398572104682,-36.53526357352587,-31.902849726451056,-30.98133078027765,-33.40223466904627,-33.74365166238278,-36.469072488013076,-39.002106203186784,-40.7585922553923,-41.17663479751212,-40.80222050798897,-40.39957218700591,-36.10940195957865,-36.10940195957865,-44.84727231950326,3.2015914589175187,DOGE,negative
DOGE-USD,BCH-USD,2022-02-20,2022-05-30,85.2946836293869,-46.94949576555333,-47.57579876242772,3.4826055029625103,0.0,3.4826055029625103,-5.3203403932384425,-3.963110859317154,-6.881630024521479,-4.154362442645654,-8.52374044895392,-5.595281504699567,-7.331184056408324,-10.042464255755945,-10.771425321672412,-14.681007136869905,-20.248066492004646,-25.247922667588586,-35.61738782141365,-35.82873993296929,-35.17756810512533,-44.421508348290175,-38.549603257828494,-40.79402397533632,-38.92758235188353,-39.54478680685839,-39.59195036065039,-42.42543091694617,-40.97276554813656,-41.7997094204062,-41.427793436504935,-42.54157979374726,-43.38148337013713,-47.57579876242772,-46.94949576555333,-46.94949576555333,-47.57579876242772,3.4826055029625103,DOGE,negative
DOGE-USD,INJ-USD,2022-02-22,2022-06-01,85.21268306138921,-42.93361097064943,-42.93361097064943,3.201733659135497,0.0,3.2017336591354972,-2.0296799851920677,-1.4686375193443624,-2.5808872605673994,-1.795462277506099,-4.243970861639667,-6.367280481363635,-3.154361591007515,-5.1938710218176976,-12.010243994300641,-24.940411499313896,-35.74062258823838,-30.963362651622507,-27.66442605861291,-35.10603449830935,-34.577617059735346,-40.92484799977388,-37.27840517331019,-34.15030331106973,-35.23552925791075,-37.209489901752654,-33.400157477944646,-30.36998814606775,-30.170331481537016,-34.58267827632772,-34.88714980661097,-38.213512333799926,-38.93310128718055,-40.395856075775086,-42.933610970649426,-42.933610970649426,-42.933610970649426,3.2017336591354972,DOGE,negative
DOGE-USD,NEO-USD,2022-02-20,2022-05-30,85.18740247571574,-26.96957376769777,-27.649566324912566,3.33650307849247,0.0,-1.963557084291323,-5.238787603663752,-2.843746630677546,-5.096647255319042,-4.056844474546084,-2.8871898795618356,3.33650307849247,0.8859733389842805,2.2286475783689808,2.231417966420146,-3.174889008290993,-8.026599937577162,-0.5637658678633417,-16.701802801672372,-17.469103085248328,-15.303923315010703,-25.083174420796507,-23.041333622684977,-27.649566324912566,-22.885786864326562,-22.14777816903434,-21.964875853808085,-24.549874720946185,-20.920957993707656,-17.859881710910653,-17.38343977050818,-19.484333577078882,-19.197971039076155,-24.14832236397374,-26.969573767697774,-26.969573767697774,-27.649566324912566,3.33650307849247,DOGE,negative
DOGE-USD,ADA-USD,2022-02-20,2022-05-30,85.15353469865502,-18.34221398505558,-19.97831923463218,12.549447222036925,0.0,9.679631560820635,-3.038736593547753,3.108726487149327,-1.8269620643066364,-0.7023664613950431,-0.5232722146814028,6.885953695422464,7.958982200150189,12.549447222036925,11.0243806145351,0.7267489579410258,-3.0340001994931587,-12.842565189197508,-18.759000978436546,-15.030883798583849,-6.451282370848577,-16.673481985705497,-14.503580943928828,-19.97831923463218,-15.034741920893225,-13.649482582930283,-15.939889827082931,-19.559775697760763,-15.749038240160896,-12.428057520107716,-12.476822513199693,-14.106968061647985,-14.784596535552541,-17.612129685605904,-18.34221398505558,-18.34221398505558,-19.97831923463218,12.549447222036925,DOGE,negative
DOGE-USD,OP-USD,2025-12-02,2026-03-11,85.07429441867926,-4.418250446990268,-15.357972827200284,14.283933662869398,0.0,-0.33226121684086785,2.782690011864042,2.8458225518270375,6.465809344804185,14.283933662869398,13.041272874792597,4.86597718663182,0.9560795317757664,2.8391757183871658,-2.3789969965472335,-4.86680649359732,-5.788834928924058,-5.410887562685396,-5.8743897012452635,-9.675462477882569,-13.529703733181009,-14.962579070396398,-15.357972827200284,-12.087687452771279,-8.204377131674756,-8.606411533060566,-11.61670298494808,-8.593124055038748,-8.155367565557025,-8.528332901144752,-8.789156130651744,-1.3116046656562297,-4.511287548574794,-5.311209816518925,-4.418250446990268,-4.418250446990268,-15.357972827200284,14.283933662869398,DOGE,negative
DOGE-USD,HBAR-USD,2020-07-02,2020-10-09,84.96335633566439,-12.184229809540092,-17.297484945522534,0.2726304445865413,0.0,-0.22042300558831052,-1.1688221323238213,-0.7975896413180417,-0.9542011537930439,0.2726304445865413,-2.160731059731058,-6.316884028391689,-5.838330243600865,-5.049449045128962,-5.200269335066087,-12.303138950660731,-9.370921969110746,-6.360393829063426,-5.731019754335476,-6.511214119000552,-7.2391902401477415,-10.960293822429445,-10.235213312551195,-12.981814048598295,-14.652398073943107,-14.951126835768925,-15.33396878314962,-14.95692886282647,-13.875110125066637,-17.297484945522534,-17.201773108112405,-14.226051728150502,-9.278111145229385,-13.47196648524438,-12.184229809540092,-12.184229809540092,-17.297484945522534,0.2726304445865413,DOGE,negative
DOGE-USD,SOL-USD,2022-02-28,2022-06-07,84.91426088872137,-2.3309389733712105,-28.51395240794856,7.341326054525488,0.0,-1.506695041352446,1.3566610368045184,-5.9532189118099765,-14.241381314938605,-22.045732175324762,-28.513952407948562,-24.654037216674308,-12.55054615724427,-23.95641923743338,-22.04662206820197,-19.346111550200163,-13.169737490306698,-10.194487055589185,-8.409274889167229,-13.479371847832578,-3.2008576245876608,7.035106177278472,7.341326054525488,-0.07476067443433765,-2.5009665494103883,-10.424408291364085,-14.107539491656429,-14.831428656272394,-16.82279611499854,-15.412112776898146,-15.34485815542811,-6.725926438939855,-10.24915743104563,-5.994308748140298,-2.3309389733712105,-2.3309389733712105,-28.513952407948562,7.341326054525488,DOGE,negative
DOGE-USD,BAT-USD,2018-09-19,2018-12-27,84.84180161860402,-1.7628016859120743,-6.082235240238298,10.323062790517778,0.0,8.684015113042221,5.946814421522784,7.800665935964046,-0.046702032796730464,2.221205274279625,5.750682119894224,2.6072305694551545,7.732172713789365,6.347626181018096,9.583693185620223,7.348490058451174,9.585258811254093,10.323062790517778,-2.2858018282100434,0.9526078162294116,2.255440288140065,-6.082235240238298,-2.1457073270467864,-5.433150046893386,-2.978469400310879,0.5346785498038908,-1.976828508674322,1.0101996451016726,-2.8874079745547565,-4.910149904595418,-3.6649092615570145,-4.654877544301117,-3.5497198051990586,-0.14632221201794637,-1.7628016859120743,-1.7628016859120743,-6.082235240238298,10.323062790517778,DOGE,negative
DOGE-USD,FIL-USD,2022-02-24,2022-06-03,84.81202873243954,-28.220321248920254,-30.959684601671565,2.372061161950212,0.0,0.8078366737497289,-0.44360220899476444,2.372061161950212,-0.9323953739464597,-2.843659593517278,-2.358604414083987,-7.823146109024536,-17.632058355883164,-22.760561597522212,-28.16759631870297,-25.8136708313196,-20.97418476308165,-28.5257855586023,-27.813931330241417,-30.959684601671565,-25.987564495556605,-26.076290093197652,-19.575727043016933,-25.220761880075237,-21.646145663237537,-17.312641048533294,-17.783311428523373,-21.178530119688364,-21.9083395681428,-25.583804056345883,-26.500796352035483,-27.165661524509034,-28.2169957307694,-27.879616758523362,-28.220321248920254,-28.220321248920254,-30.959684601671565,2.372061161950212,DOGE,negative
DOGE-USD,ETC-USD,2022-02-20,2022-05-30,84.7536571975979,-38.84901589707388,-44.75211103277734,0.0,0.0,-4.234244922629871,-11.158661564352157,-9.572652582529638,-11.933896788006948,-11.50675005330396,-12.049154821834074,-9.276664723145057,-13.034461075655024,-14.10295456549836,-14.688594552454749,-19.45107342598008,-26.821397950006308,-32.79400159977228,-41.968956298136476,-41.051447757008695,-36.195539906229634,-44.383781264702804,-42.10782723535805,-44.75211103277734,-38.14978638818768,-34.336006463676696,-35.18418718212253,-38.67504469804971,-35.76505614773205,-33.97467752547537,-33.28177605940702,-32.741562654428655,-33.37019950096886,-37.81759874072716,-38.84901589707388,-38.84901589707388,-44.75211103277734,0.0,DOGE,negative
DOGE-USD,DOT-USD,2022-02-20,2022-05-30,84.63398695853671,-32.958527844237665,-32.958527844237665,0.0,0.0,-0.8484000323641383,-9.407180842257413,-5.329710520705888,-10.310630915427899,-9.797356558156512,-10.616065143490871,-9.202633681521421,-11.733631141739675,-13.879852989481744,-11.695985488316662,-17.236637548980628,-23.32609336359216,-28.74134809021055,-32.94817916630978,-29.55016408743315,-18.600063323510074,-32.08945326050856,-30.230581679620073,-32.489822583798066,-28.1034654342755,-24.562799143609272,-25.94665774190115,-29.13835603155521,-25.517267423611568,-21.511339350617497,-22.201704261694122,-25.053638442825445,-25.9284050274598,-30.08010852748393,-32.958527844237665,-32.958527844237665,-32.958527844237665,0.0,DOGE,negative
DOGE-USD,BAT-USD,2022-02-20,2022-05-30,84.58965717418755,-4.554083140728393,-29.23550336049806,8.332550466741594,0.0,0.046490421417333394,-4.5662632606981335,-0.5774888267403133,-5.697391883654069,-5.341649401618264,-4.833262751859547,0.13573721287440943,-2.082259670081743,-1.7565970463653602,-2.1212893975760094,-9.47858565987949,-16.734943993674634,-22.919096146192263,-29.23550336049806,-27.50202187027965,-10.59280732798692,-20.47138842402584,-15.916808891546852,-22.553655502939673,-15.68784634437852,-10.400140649268552,-7.367231506147409,-9.354287683764973,0.7214350255797308,8.332550466741594,7.123614289088476,-2.298293805238405,-3.2929443321100815,-7.729441898605094,-4.554083140728393,-4.554083140728393,-29.23550336049806,8.332550466741594,DOGE,negative
DOGE-USD,EGLD-USD,2022-02-20,2022-05-30,84.4950340747725,-41.6580048605385,-51.6392152337172,0.0,0.0,-5.574746401195718,-12.132174596839352,-9.351887724202069,-10.028780507217993,-10.638931514695294,-14.910094928431628,-19.239819153719605,-22.482459011642053,-24.23004764370067,-28.207675765086325,-34.1486820626559,-41.36882152194471,-47.75849563860667,-51.639215233717195,-46.360401687990795,-34.52160284140922,-41.48609382369127,-39.0328372194685,-46.9140216138764,-38.54270175139105,-33.69610989401176,-32.16257800168033,-32.24067385616518,-29.566181118033764,-26.70951790013534,-28.28038707393509,-35.929614992135015,-34.83500555605339,-39.61906577645724,-41.6580048605385,-41.6580048605385,-51.639215233717195,0.0,DOGE,negative
