target,similar_asset,start_date,end_date,similarity,return_7d,drawdown_7d,max_gain_7d,return_14d,drawdown_14d,max_gain_14d,return_30d,drawdown_30d,max_gain_30d,return_60d,drawdown_60d,max_gain_60d,source_file,btc_regime_today,btc_regime_snapshot_date,btc_price_today,btc_above_ma200_today,btc_return_90d_today,btc_ma200_slope_60d_today,target_regime_today,target_regime_snapshot_date,target_price_today,target_above_ma200_today,target_return_90d_today,target_ma200_slope_60d_today,btc_regime_at_match,btc_price_at_match,btc_above_ma200_at_match,btc_return_90d_at_match,btc_ma200_slope_60d_at_match,similar_asset_regime_at_match,similar_asset_price_at_match,similar_asset_above_ma200_at_match,similar_asset_return_90d_at_match,similar_asset_ma200_slope_60d_at_match,same_btc_regime_as_today,same_asset_regime_as_today,same_full_regime_as_today,regime_alignment,outcome_family,selected_regime_group,full_regime_matches,same_asset_regime_matches,same_btc_regime_matches,selected_sample_size,minimum_required,fallback_level,selection_reason,regime_adjusted_cohort_size,regime_adjusted_min_matches,regime_adjusted_eligible,regime_adjusted_selected,regime_report_generated_at_utc
BTC-USD,XTZ-USD,2023-08-14,2023-11-21,86.04716090400328,5.753009853273072,0.0,10.174170232857604,16.1872788643471,0.0,16.1872788643471,20.77045212210076,0.0,26.95454121996836,34.30690261903913,0.0,51.41156265955125,BTC_matches.csv,RECOVERY,2026-09-09,79122.84375,True,24.48321403571738,-5.561614712415331,RECOVERY,2026-09-09,79122.84375,True,24.48321403571738,-5.561614712415331,BULL,29408.443359375,True,8.77251040525502,14.601874198329966,BEAR,0.7985829710960388,False,-11.314380813085279,-2.8844879732420003,False,False,False,DIFFERENT,BULLISH_30D,SAME_ASSET_REGIME,0,5,0,5,5,1_SAME_ASSET_FALLBACK,FALLBACK_TO_SAME_ASSET_REGIME,5,5,True,False,2026-09-09 05:31:54
BTC-USD,1INCH-USD,2023-08-16,2023-11-23,85.90313492308336,-4.972746475290746,-4.972746475290746,3.335385615320696,7.856464078301739,-4.972746475290746,7.856464078301739,17.362529679458127,-4.972746475290746,17.362529679458127,6.163153015505984,-4.972746475290746,43.78003786057778,BTC_matches.csv,RECOVERY,2026-09-09,79122.84375,True,24.48321403571738,-5.561614712415331,RECOVERY,2026-09-09,79122.84375,True,24.48321403571738,-5.561614712415331,BULL,28701.779296875,True,6.967634731783323,14.363602313137424,BEAR,0.26501598954200745,False,-34.12985996728294,-8.041140268000845,False,False,False,DIFFERENT,BULLISH_30D,SAME_ASSET_REGIME,0,5,0,5,5,1_SAME_ASSET_FALLBACK,FALLBACK_TO_SAME_ASSET_REGIME,5,5,True,False,2026-09-09 05:31:54
BTC-USD,XRP-USD,2020-09-03,2020-12-11,85.89350379870598,6.916415543150478,-14.048559720424237,6.916415543150478,-41.793062806710346,-52.6788568596503,6.916415543150478,-41.74822977417262,-61.237952315453526,6.916415543150478,-13.631161515294332,-61.237952315453526,6.916415543150478,BTC_matches.csv,RECOVERY,2026-09-09,79122.84375,True,24.48321403571738,-5.561614712415331,RECOVERY,2026-09-09,79122.84375,True,24.48321403571738,-5.561614712415331,BULL,10245.296875,True,5.998258551194624,8.000443293569015,BULL,0.24658000469207764,True,20.818067136269992,3.1388620240355047,False,False,False,DIFFERENT,BEARISH_30D,SAME_ASSET_REGIME,0,5,0,5,5,1_SAME_ASSET_FALLBACK,FALLBACK_TO_SAME_ASSET_REGIME,5,5,True,False,2026-09-09 05:31:54
BTC-USD,BCH-USD,2019-01-12,2019-04-21,85.88422153690468,-12.052499685610806,-12.052499685610806,0.8026616078635529,1.1936073252208912,-18.54438172069276,1.1936073252208912,43.74486326933032,-18.54438172069276,45.10221562171264,42.37034426903436,-18.54438172069276,56.33528627591635,BTC_matches.csv,RECOVERY,2026-09-09,79122.84375,True,24.48321403571738,-5.561614712415331,RECOVERY,2026-09-09,79122.84375,True,24.48321403571738,-5.561614712415331,BEAR,3661.301025390625,False,-41.800323273562,-16.257004748940652,BEAR,134.38116455078125,False,-69.4055647190752,-38.76611338873121,False,False,False,DIFFERENT,BULLISH_30D,SAME_ASSET_REGIME,0,5,0,5,5,1_SAME_ASSET_FALLBACK,FALLBACK_TO_SAME_ASSET_REGIME,5,5,True,False,2026-09-09 05:31:54
BTC-USD,BTC-USD,2019-01-11,2019-04-20,85.7038485780825,-1.3037972680365328,-2.3861618620066527,4.392676503301174,9.241134574662556,-2.3861618620066527,9.241134574662556,49.465701170079626,-2.3861618620066527,53.71567722659121,73.7302198657134,-2.3861618620066527,74.60755318953336,BTC_matches.csv,RECOVERY,2026-09-09,79122.84375,True,24.48321403571738,-5.561614712415331,RECOVERY,2026-09-09,79122.84375,True,24.48321403571738,-5.561614712415331,BEAR,3687.365478515625,False,-41.33994261793106,-16.240533299627725,BEAR,3687.365478515625,False,-41.33994261793106,-16.240533299627725,False,False,False,DIFFERENT,EXPLOSIVE_60D,SAME_ASSET_REGIME,0,5,0,5,5,1_SAME_ASSET_FALLBACK,FALLBACK_TO_SAME_ASSET_REGIME,5,5,True,False,2026-09-09 05:31:54
BTC-USD,EOS-USD,2023-08-14,2023-11-21,85.61785211276421,4.311032650124935,0.0,7.839228084729788,14.180475427365112,0.0,14.180475427365112,29.790009280719488,0.0,31.61071553595376,11.61478100821145,0.0,39.1868982133744,BTC_matches.csv,RECOVERY,2026-09-09,79122.84375,True,24.48321403571738,-5.561614712415331,RECOVERY,2026-09-09,79122.84375,True,24.48321403571738,-5.561614712415331,BULL,29408.443359375,True,8.77251040525502,14.601874198329966,BEAR,0.7177829742431641,False,-19.551168954436427,-6.523646389232008,False,False,False,DIFFERENT,BULLISH_30D,SAME_ASSET_REGIME,0,5,0,5,5,1_SAME_ASSET_FALLBACK,FALLBACK_TO_SAME_ASSET_REGIME,5,5,True,False,2026-09-09 05:31:54
BTC-USD,RUNE-USD,2026-01-31,2026-05-10,85.58196242288804,-27.53677615174036,-28.442733824885693,2.9299025516154265,-26.03170854295877,-30.896495859541595,2.9299025516154265,-36.07058054252936,-47.558193325493214,2.9299025516154265,-35.185742379067875,-47.558193325493214,2.9299025516154265,BTC_matches.csv,RECOVERY,2026-09-09,79122.84375,True,24.48321403571738,-5.561614712415331,RECOVERY,2026-09-09,79122.84375,True,24.48321403571738,-5.561614712415331,BEAR,78621.1171875,False,-28.939458003857123,-4.951989826892356,BEAR,0.47436100244522095,False,-45.076127789842054,-23.332009095272188,False,False,False,DIFFERENT,BEARISH_30D,SAME_ASSET_REGIME,0,5,0,5,5,1_SAME_ASSET_FALLBACK,FALLBACK_TO_SAME_ASSET_REGIME,5,5,True,False,2026-09-09 05:31:54
BTC-USD,AVAX-USD,2023-08-20,2023-11-27,85.50151740126482,11.169474931725665,0.0,11.169474931725665,87.33909507815831,0.0,87.33909507815831,108.31538760615898,0.0,137.46642495444473,58.55499187266076,0.0,137.46642495444473,BTC_matches.csv,RECOVERY,2026-09-09,79122.84375,True,24.48321403571738,-5.561614712415331,RECOVERY,2026-09-09,79122.84375,True,24.48321403571738,-5.561614712415331,BEAR,26189.583984375,False,-2.4642900630163833,13.571183038712409,BEAR,10.873089790344238,False,-25.9354134691952,-2.581749292911484,False,False,False,DIFFERENT,EXPLOSIVE_60D,SAME_ASSET_REGIME,0,5,0,5,5,1_SAME_ASSET_FALLBACK,FALLBACK_TO_SAME_ASSET_REGIME,5,5,True,False,2026-09-09 05:31:54
BTC-USD,MATIC-USD,2023-08-14,2023-11-21,85.46545893528841,2.145529568352189,0.0,6.381178099450402,11.046555811823966,0.0,11.42195656231626,11.55819667689335,0.0,25.856427459380612,7.176893923921979,0.0,41.91946568879288,BTC_matches.csv,RECOVERY,2026-09-09,79122.84375,True,24.48321403571738,-5.561614712415331,RECOVERY,2026-09-09,79122.84375,True,24.48321403571738,-5.561614712415331,BULL,29408.443359375,True,8.77251040525502,14.601874198329966,BEAR,0.6793490052223206,False,-19.699741624969203,-5.495370745851669,False,False,False,DIFFERENT,BULLISH_30D,SAME_ASSET_REGIME,0,5,0,5,5,1_SAME_ASSET_FALLBACK,FALLBACK_TO_SAME_ASSET_REGIME,5,5,True,False,2026-09-09 05:31:54
BTC-USD,FIL-USD,2023-08-13,2023-11-20,85.38334997589358,-3.150412843350525,-9.912371847910672,1.9970809271877328,0.8499461641402917,-9.912371847910672,1.9970809271877328,13.559116617701704,-9.912371847910672,21.19238110395414,16.708827320551457,-9.912371847910672,62.35783054052708,BTC_matches.csv,RECOVERY,2026-09-09,79122.84375,True,24.48321403571738,-5.561614712415331,RECOVERY,2026-09-09,79122.84375,True,24.48321403571738,-5.561614712415331,BULL,29282.9140625,True,7.686699789171025,14.68818399279912,BEAR,4.094109058380127,False,-8.228931697965425,1.6906138502882806,False,False,False,DIFFERENT,BULLISH_30D,SAME_ASSET_REGIME,0,5,0,5,5,1_SAME_ASSET_FALLBACK,FALLBACK_TO_SAME_ASSET_REGIME,5,5,True,False,2026-09-09 05:31:54
