asset,name,event_date,age_reference_date,age_years,close,ema20,ema50,ema100,ema200,price_to_ema200_pct,upside_to_ema200_pct,ema50_ema200_gap_pct,ema50_slope_4w_pct,ema200_slope_8w_pct,rsi14,rsi_4w_change,gain_from_26w_low_pct,cross_state,weeks_since_death_cross,hit_ema200_4w,hit_ema200_8w,hit_ema200_12w,hit_ema200_16w,weeks_to_ema200,max_gain_4w_pct,max_gain_8w_pct,max_gain_12w_pct,max_gain_16w_pct,drawdown_4w_pct,drawdown_8w_pct,drawdown_12w_pct,drawdown_16w_pct,return_4w_pct,return_8w_pct,return_12w_pct,return_16w_pct,similarity_to_sol
LTC-USD,Litecoin,2023-09-25,2011-10-13,11.950718685831623,68.23331451416016,76.57663027811594,81.96279356250965,90.17945848170223,92.9377323957713,-26.581687808358023,36.20580072580872,-11.80891608859721,-3.6172066384269064,-2.3090753256446717,42.792537211344005,4.353806232788969,17.56615158796544,EMA50 SOTTO EMA200 DA TEMPO,58,False,False,False,False,22,6.080084960245324,12.317837905771988,16.41275535230873,16.41275535230873,-11.90765068216757,-11.90765068216757,-11.90765068216757,-11.90765068216757,0.8317458634935937,2.675637226997951,4.3107954546089955,4.934199528885697,78.68738782979894
ADA-USD,Cardano,2024-06-17,2017-09-29,6.715947980835044,0.3803029954433441,0.4816140767826115,0.4704845635151728,0.5036707861994617,0.5293295343958014,-28.15383032094787,39.1862648304222,-11.116887884934801,-1.8037850777613884,-1.4137209693849462,37.50085299048392,-7.548264665163913,3.7443691336207507,EMA50 SOTTO EMA200 DA TEMPO,,False,False,False,False,20,19.700081130952785,19.700081130952785,19.700081130952785,19.700081130952785,-15.605448257330167,-26.404469419790267,-26.404469419790267,-26.404469419790267,17.295155315268552,-11.956780938826107,-10.985975778574641,-8.485076739787967,78.39520426303459
MANA-USD,Decentraland,2023-04-03,2017-09-18,5.538672142368241,0.6004120111465454,0.6222905399125978,0.841474430870934,0.9654410810778613,0.820975540546152,-26.866029315913266,36.73536260182719,2.496894159738927,-4.622194045414252,-2.0071345840063426,46.11379811279624,1.906471572865719,110.03782800289747,EMA50 SOPRA EMA200 MA IN AVVICINAMENTO,,False,False,False,False,,15.816804560041353,15.816804560041353,15.816804560041353,15.816804560041353,-15.231541146336003,-27.079241221445884,-47.19775917227046,-47.19775917227046,-15.221881892641909,-15.933063059539322,-32.39026224129232,-35.28144166495751,78.29922023865862
ETC-USD,Ethereum Classic,2025-03-31,2016-07-20,8.695414099931554,14.13341236114502,20.930069915276142,22.452910496242897,23.037876761069814,23.05299608386775,-38.691646371139434,63.109909304309795,-2.6030698371774186,-4.458953153177125,-1.7216333925323068,34.1656979594657,-5.46830977228133,1.8391293045281198,DEATH CROSS RECENTE / APPENA CONFERMATO,2,False,False,False,True,15,24.781954495549474,48.411267320141334,48.411267320141334,81.71301036838365,-8.890302448245968,-8.890302448245968,-8.890302448245968,-8.890302448245968,13.28003178416779,20.91975705462574,20.079336262581606,64.86914233286912,78.12184596711239
BTC-USD,Bitcoin,2022-12-26,2009-01-03,13.976728268309378,16625.080078125,19289.8264280753,25679.13884973411,28715.534475190998,25243.544283145322,-34.14126046782868,51.84013649570538,1.7255681757796015,-5.64534654802249,-2.742447414098892,33.57568334483557,-0.9528495023079699,6.577537790269639,EMA50/EMA200 SOVRAPPOSTE / INCROCIO IMMINENTE,,False,False,True,True,11,43.878348330324066,51.18193157199313,73.25231398673948,86.49899595173471,-0.3179026040875499,-0.3179026040875499,-0.3179026040875499,-0.3179026040875499,43.00422190165671,41.72089866578415,68.38613676790327,65.96241723929666,77.9212731994913
LTC-USD,Litecoin,2020-04-27,2011-10-13,8.539356605065024,48.26715850830078,50.6620457141913,59.50582527063964,65.0781395039397,59.54782285436461,-18.943873688972335,23.371303997776938,-0.0705274881798501,-4.163599024426123,-2.514693934619794,46.20871872390092,6.023682464370943,88.74187853044137,EMA50/EMA200 SOVRAPPOSTE / INCROCIO IN CORSO,0,False,False,False,True,13,1.3936517234800494,3.095476737196212,4.374910001196564,41.95887661260864,-16.846645832519958,-16.846645832519958,-16.846645832519958,-16.846645832519958,-5.542638054410409,-14.210263759918051,-0.597592054846352,25.599397958388504,77.06410553763062
DOGE-USD,Dogecoin,2023-08-21,2013-12-06,9.705681040383299,0.06317099928855896,0.07156098603327711,0.08036502003333466,0.09220316641617143,0.08633337037695778,-26.82898974899839,36.666146410943036,-6.913144149896477,-2.438259603545434,-1.5429309379248024,41.40871346607058,-11.403292826901826,8.28076325665965,EMA50 SOTTO EMA200 / CROSS GIÀ AVVENUTO,14,False,False,True,True,12,7.747231050915082,7.747231050915082,37.81799216575057,67.54049102995896,-5.833369109393127,-9.031041196565315,-9.031041196565315,-9.031041196565315,-3.84353414946782,-2.493233606976941,27.55220513410832,47.373007175183645,76.39304719322637
ETC-USD,Ethereum Classic,2023-07-24,2016-07-20,7.008898015058179,18.8690242767334,19.017646497080694,21.63374502195096,24.219161227004367,23.42913833021377,-19.46343049073954,24.167195858151814,-7.663078696955338,-2.259603972510249,-1.8824085506051635,47.89134891108037,-3.683804917853166,40.5687642256241,EMA50 SOTTO EMA200 / CROSS GIÀ AVVENUTO,14,False,False,False,False,22,0.8137228649959027,0.8137228649959027,0.8137228649959027,15.274912479304392,-26.099069192017676,-26.099069192017676,-26.099069192017676,-26.099069192017676,-15.163558801282107,-20.068735827449512,-16.09334583939456,3.955825260040058,75.96768263743957
ETC-USD,Ethereum Classic,2025-11-17,2016-07-20,9.32785763175907,13.556330680847168,17.779751672887027,19.355384614408177,20.759586990115935,21.73021200327877,-37.61528567322897,60.29567672010192,-10.928689460150077,-3.613718034175084,-2.0937859224244404,36.649471697402156,-6.628428269884338,32.42763260004662,EMA50 SOTTO EMA200 DA TEMPO,35,False,False,False,False,,5.6429606714615055,5.6429606714615055,5.6429606714615055,5.6429606714615055,-15.190860708064102,-16.46577454284933,-45.787297826645016,-45.787297826645016,-9.991992173251585,-9.648091083383758,-35.625261566378185,-37.57134004223614,75.55493859957316
BCH-USD,Bitcoin Cash,2025-03-24,2017-08-01,7.644079397672827,298.8476867675781,372.8032569947634,375.9920703207371,348.1378910416459,359.9219772503868,-16.96875832628614,20.436594689223007,4.464882415104876,-2.181903495406856,-0.7254125471016226,39.05978494559229,-3.072190551894856,10.442281557504153,EMA50 SOPRA EMA200 MA IN AVVICINAMENTO,29,True,True,True,True,3,28.433831077847138,52.18280747757422,67.34533615599713,84.99001444043543,-16.080136094032238,-16.080136094032238,-16.080136094032238,-16.080136094032238,15.772364166112073,41.496670816381396,52.27763378643209,83.32960434268956,75.51350974582469
