target,similar_asset,start_date,end_date,similarity,return_7d,drawdown_7d,max_gain_7d,return_14d,drawdown_14d,max_gain_14d,return_30d,drawdown_30d,max_gain_30d,return_60d,drawdown_60d,max_gain_60d
SOL-USD,SOL-USD,2025-12-04,2026-03-13,76.76352944299717,1.9287757039984976,-0.09370433568844927,9.155001009136932,-5.8244683336985625,-5.8244683336985625,9.155001009136932,-7.507442168491596,-10.438604143796649,9.155001009136932,6.954935371963034,-10.438604143796649,10.43280550105985
SOL-USD,AVAX-USD,2024-04-16,2024-07-24,76.74183953665957,-9.428200196294057,-9.428200196294057,1.1004396331294686,-30.169390271326957,-31.155454897907475,1.1004396331294686,-6.609421846029262,-31.155454897907475,1.1004396331294686,-3.7299094806590216,-31.155454897907475,1.1004396331294686
SOL-USD,EOS-USD,2023-06-15,2023-09-22,76.66378148394905,0.46604780182857297,-2.722658917073817,1.0194368739132154,-0.9122965931108729,-2.722658917073817,4.816593164694338,-2.5358258076221274,-7.17720859618598,4.816593164694338,12.879013141968422,-7.17720859618598,27.114501724728758
SOL-USD,XRP-USD,2020-01-07,2020-04-15,76.19398535173576,3.696140610008003,0.0,7.53295732022099,25.46587603733519,0.0,25.46587603733519,9.731887613006162,0.0,25.46587603733519,5.708056277674056,0.0,25.46587603733519
SOL-USD,EOS-USD,2024-04-15,2024-07-23,76.12830588802517,-1.5776223069755346,-3.934656541717363,1.5037221139192258,-20.82579410367218,-23.109626285553297,1.5037221139192258,-8.957918983704992,-23.109626285553297,1.5037221139192258,-9.12551369771597,-23.109626285553297,1.5037221139192258
SOL-USD,VET-USD,2020-01-09,2020-04-17,75.89239523911485,7.819468576721089,-3.726054061187234,7.819468576721089,16.977172699124885,-3.726054061187234,25.53136218453922,16.08502381458592,-3.726054061187234,26.08239675662203,137.36553739830845,-3.726054061187234,155.49724708763134
SOL-USD,ZIL-USD,2018-09-21,2018-12-29,75.8302167405771,-3.097725514147043,-7.628088441005798,0.0,-2.9506666776234036,-7.628088441005798,14.852942488887976,-0.39373560989566236,-12.500001104509673,14.852942488887976,-17.05882503674262,-21.764707805499206,14.852942488887976
SOL-USD,DOT-USD,2024-04-15,2024-07-23,75.78001636620344,-6.702259044516257,-6.702259044516257,0.0,-23.85486076032989,-28.900704677521617,0.0,-20.69954570978114,-28.900704677521617,0.0,-24.545971608271156,-33.10427487176513,0.0
SOL-USD,LINK-USD,2025-12-01,2026-03-10,75.66083342274965,9.040478542502806,0.0,10.508815019159856,2.93277675359509,-3.315665960856462,10.508815019159856,-0.448657483171766,-6.432222314820368,10.508815019159856,15.460842396598107,-6.432222314820368,15.460842396598107
SOL-USD,OMG-USD,2025-12-01,2026-03-10,75.64129920979848,2.3719134750870507,-0.40225384098904193,2.9614233031036274,-3.9237140643514468,-5.567401917644443,2.9614233031036274,-5.345473441280091,-7.4139574209171055,2.9614233031036274,13.314255282661858,-7.4139574209171055,15.030776032706328
SOL-USD,FIL-USD,2018-10-03,2019-01-10,75.59409138559413,2.3792223166885007,-5.8332132625567805,3.8453739671925335,0.3840833542463118,-5.8332132625567805,5.318888898430929,0.6737719940241416,-10.339779623209955,5.318888898430929,-5.019220866297136,-10.339779623209955,15.135947154863306
