snapshot_date,generated_at_utc,target_ticker,asset,current_price,horizon_day,target_date,raw_p10_price,raw_p25_price,raw_p50_price,raw_p75_price,raw_p90_price,shadow_p10_price,shadow_p25_price,shadow_p50_price,shadow_p75_price,shadow_p90_price,calibration_controls,calibration_active,calibration_strength,center_shift_pct,raw_bias_pct,wide_scale,central_scale
2026-07-16,2026-07-16 15:04:45,BTC-USD,BTC,64443.671875,10,2026-07-26,54204.19565212003,58893.297701392476,62292.044495505026,64415.67601578099,69329.11616117816,54204.19565212003,58893.297701392476,62292.044495505026,64415.67601578099,69329.11616117816,0,0,0.0,0.0,,1.0,1.0
2026-07-16,2026-07-16 15:04:45,BTC-USD,BTC,64443.671875,11,2026-07-27,55947.16901460006,58594.15427314333,61973.170952293425,64348.56037477671,70651.83140238767,55947.16901460006,58594.15427314333,61973.170952293425,64348.56037477671,70651.83140238767,0,0,0.0,0.0,,1.0,1.0
2026-07-16,2026-07-16 15:04:45,BTC-USD,BTC,64443.671875,12,2026-07-28,54079.88340522149,58179.93030894634,62377.636782493166,64596.633198430914,72591.89360592082,54079.88340522149,58179.93030894634,62377.636782493166,64596.633198430914,72591.89360592082,0,0,0.0,0.0,,1.0,1.0
2026-07-16,2026-07-16 15:04:45,BTC-USD,BTC,64443.671875,13,2026-07-29,55231.69471018293,58478.00485419558,62346.28412518482,64984.8007266332,72691.0589611811,55231.69471018293,58478.00485419558,62346.28412518482,64984.8007266332,72691.0589611811,0,0,0.0,0.0,,1.0,1.0
2026-07-16,2026-07-16 15:04:45,BTC-USD,BTC,64443.671875,14,2026-07-30,54389.27360716931,59130.56047651035,62235.26483609533,63939.19095324631,71228.68865866946,54389.27360716931,59130.56047651035,62235.26483609533,63939.19095324631,71228.68865866946,0,0,0.0,0.0,,1.0,1.0
2026-07-16,2026-07-16 15:04:45,BTC-USD,BTC,64443.671875,15,2026-07-31,53140.44318979461,58324.772428443146,61120.45794730997,65323.571565407125,73857.8511953867,53140.44318979461,58324.772428443146,61120.45794730997,65323.571565407125,73857.8511953867,0,0,0.0,0.0,,1.0,1.0
2026-07-16,2026-07-16 15:04:45,BTC-USD,BTC,64443.671875,16,2026-08-01,53678.07976076522,58613.67255619973,60469.679207960806,63592.580198885706,72597.5409034344,53678.07976076522,58613.67255619973,60469.679207960806,63592.580198885706,72597.5409034344,0,0,0.0,0.0,,1.0,1.0
2026-07-16,2026-07-16 15:04:45,BTC-USD,BTC,64443.671875,17,2026-08-02,54185.55632744686,57978.92706268048,60817.87963182871,65813.71463151606,75923.72898834893,54185.55632744686,57978.92706268048,60817.87963182871,65813.71463151606,75923.72898834893,0,0,0.0,0.0,,1.0,1.0
2026-07-16,2026-07-16 15:04:45,BTC-USD,BTC,64443.671875,18,2026-08-03,54150.10957086793,58060.85175678341,61540.00495204743,66442.51582226844,76954.78431896049,54150.10957086793,58060.85175678341,61540.00495204743,66442.51582226844,76954.78431896049,0,0,0.0,0.0,,1.0,1.0
2026-07-16,2026-07-16 15:04:45,BTC-USD,BTC,64443.671875,19,2026-08-04,55407.12157213367,58125.649394401014,61380.826445064034,68786.71143676268,77537.23692186624,55407.12157213367,58125.649394401014,61380.826445064034,68786.71143676268,77537.23692186624,0,0,0.0,0.0,,1.0,1.0
