forecast_date,target_horizon_days,target_date,spot_at_forecast,p10,p25,p50,p75,p90,p_ge_200,p_ge_300,p_ge_500,p_ge_800,cohort_sha256
2026-09-05,730,2028-09-04,102.58999633789062,45.72616684464886,66.82386723757291,134.7447329280824,279.007677727092,747.8039826335037,38.46153846153847,23.076923076923077,15.384615384615385,11.538461538461538,cdbc0493ae766a59efb741d3f541b0a871809c4de533e0bc50dc8992b3bb528e
2026-09-06,90,2026-12-05,106.30000305175781,68.75859036580148,95.18713381739168,127.96516836460654,195.32797328480027,322.79360934629767,25.925925925925924,11.11111111111111,7.4074074074074066,3.7037037037037033,0ab378fc219d40d18e18d6ce66fde0bf77597d37070813a257ed25f45b247d61
2026-09-06,180,2027-03-05,106.30000305175781,60.70197955059247,90.3255423567887,135.4604434095734,231.45485488375957,263.87784013791446,29.629629629629626,7.4074074074074066,0.0,0.0,0ab378fc219d40d18e18d6ce66fde0bf77597d37070813a257ed25f45b247d61
2026-09-06,365,2027-09-06,106.30000305175781,51.89098340160638,88.05956754343528,144.94949061740368,250.7219168766093,600.4330153580554,33.33333333333333,18.51851851851852,14.814814814814813,7.4074074074074066,0ab378fc219d40d18e18d6ce66fde0bf77597d37070813a257ed25f45b247d61
2026-09-06,730,2028-09-05,106.30000305175781,50.84395750178075,75.60160264813594,155.2757511807097,289.9249609132995,799.6512870124084,44.0,24.0,16.0,12.0,0ab378fc219d40d18e18d6ce66fde0bf77597d37070813a257ed25f45b247d61
2026-09-07,90,2026-12-06,105.06999969482422,68.87169312399813,95.29379223530732,120.34263623823065,184.58442142417687,308.1742148715156,17.857142857142858,10.714285714285714,7.142857142857142,0.0,bd514303827ec84325256107843cc68430ddc541de1187c84fd0eaeef8e18220
2026-09-07,180,2027-03-06,105.06999969482422,60.32162011711486,91.16785375308302,133.07778037175243,224.57293167895872,311.5846847158375,28.57142857142857,10.714285714285714,0.0,0.0,bd514303827ec84325256107843cc68430ddc541de1187c84fd0eaeef8e18220
2026-09-07,365,2027-09-07,105.06999969482422,53.26925707448792,81.88670020993428,141.82979598681683,255.9051983500881,685.9855039587695,35.714285714285715,21.428571428571427,17.857142857142858,10.714285714285714,bd514303827ec84325256107843cc68430ddc541de1187c84fd0eaeef8e18220
2026-09-07,730,2028-09-06,105.06999969482422,46.831547986304585,76.77428673731907,163.23081512215083,308.97944585173633,773.7536303892222,46.15384615384615,26.923076923076923,15.384615384615385,11.538461538461538,bd514303827ec84325256107843cc68430ddc541de1187c84fd0eaeef8e18220
2026-09-08,90,2026-12-07,102.86000061035156,82.523487754229,104.5437650851441,124.20406956202787,182.65459695533255,323.5974631416974,21.428571428571427,10.714285714285714,7.142857142857142,0.0,8f1f0cbd9b10e9bfbfd59c1fecd2995c3ff7b3d838caad7ff8469c71a3fb0fad
2026-09-08,180,2027-03-07,102.86000061035156,74.60304542509508,93.5122189656784,131.95253304461124,219.84935715864503,313.55473162014727,32.142857142857146,10.714285714285714,0.0,0.0,8f1f0cbd9b10e9bfbfd59c1fecd2995c3ff7b3d838caad7ff8469c71a3fb0fad
2026-09-08,365,2027-09-08,102.86000061035156,69.5704279615564,88.12137631704327,124.9805692308094,323.80576292216944,641.3775376129452,35.714285714285715,25.0,17.857142857142858,7.142857142857142,8f1f0cbd9b10e9bfbfd59c1fecd2995c3ff7b3d838caad7ff8469c71a3fb0fad
